Country,read,math,science,GPI,CPI,cd,ss,md,egdp,egov,myos,cm,democracy
Australia,502.63,491.36,502.96,1.44,77,1.18,1.5,1.69,5.3,13.8,12.21,1,9.09
Austria,484.39,498.94,489.78,1.27,76,1.08,1.37,1.39,5.5,11,12.3,1,8.42
Belgium,492.86,508.07,498.77,1.56,75,1.21,1.84,1.57,6.5,12.3,11.92,1,7.78
Canada,520.09,512.02,518,1.37,81,1.19,1.43,1.54,5.3,12.2,13.8,1,9.15
Chile,452.27,417.41,443.58,1.65,67,1,2.11,1.76,5.4,21.3,10.6,2,7.84
Colombia,412.3,390.93,413.32,2.73,36,2.2,3.43,2.23,4.5,16.3,8.06,2,6.67
Czech Republic,490.22,499.47,496.79,1.38,59,1.08,1.63,1.34,5.6,14.2,12.84,1,7.62
Denmark,501.13,509.4,492.64,1.35,88,1.42,1.29,1.35,7.6,13.8,12.43,1,9.22
Estonia,523.02,523.41,530.11,1.73,73,1.5,1.99,1.58,5.2,13.1,12.9,1,7.79
Finland,520.08,507.3,521.88,1.51,85,1.3,1.43,1.97,6.9,12.3,14.2,1,9.03
France,492.61,495.41,492.98,1.91,72,1.24,1.95,2.76,5.4,9.6,11.32,1,7.8
Germany,498.28,500.04,502.99,1.53,80,1.12,1.64,1.9,4.8,10.9,14.07,1,8.61
Greece,457.41,451.37,451.63,2.02,45,1.84,2.08,2.21,4,8.7,10.74,1,7.29
Hungary,475.99,481.08,480.91,1.53,46,1.45,1.81,1.14,4.7,10.1,12.27,1,6.64
Iceland,473.97,495.19,475.02,1.1,76,1.04,1.17,1.05,7.5,16.8,12.5,1,9.58
Ireland,518.08,499.63,496.11,1.39,73,1.24,1.58,1.32,3.7,13.5,12.5,1,9.15
Israel,470.42,463.03,462.2,2.76,61,2.27,2.54,3.91,5.8,15.5,12.96,1,7.79
Italy,476.28,486.59,468.01,1.77,52,1.09,2.19,1.97,3.8,7.8,10.16,1,7.98
Japan,503.86,526.97,529.14,1.39,73,1.4,1.32,1.48,3.6,9.1,12.8,1,7.88
South Korea,514.05,525.93,519.01,1.82,57,1.84,1.66,2.06,5.07,15.77,12.3,1,8
Latvia,478.7,496.13,487.25,1.69,58,1.47,2.01,1.39,4.7,12.9,13.23,1,7.25
Lithuania,475.87,481.19,482.07,1.75,59,1.45,2.01,1.7,4,12,12.84,2,7.41
Mexico,420.47,408.8,419.2,2.58,28,2.62,3.08,1.79,4.9,17.9,8.6,3,6.41
Netherlands,484.78,519.23,503.38,1.57,82,1.22,1.56,2.08,5.5,12.8,12.14,1,8.89
New Zealand,505.73,494.49,508.49,1.19,87,1.04,1.31,1.2,6.4,16.8,13.1,1,9.26
Norway,499.45,500.96,490.41,1.52,84,1.3,1.25,2.32,8,16,12.79,1,9.87
Poland,511.86,515.65,511.04,1.73,60,1.44,1.98,1.68,4.6,11.3,12.67,1,6.67
Portugal,491.8,492.49,491.68,1.32,64,1.08,1.5,1.32,4.9,10.2,8.89,1,7.84
Slovak Republic,457.98,486.16,464.05,1.57,50,1.44,1.79,1.37,3.9,9.4,12.66,1,7.16
Slovenia,495.35,508.9,507.01,1.4,60,1.44,1.44,1.26,4.8,11.7,12.38,1,7.5
Sweden,505.79,502.39,499.44,1.5,85,1.3,1.37,2.03,7.7,15.7,12.34,1,9.39
Switzerland,483.93,515.31,495.28,1.41,85,1.04,1.35,2.03,5.1,15.5,13.73,1,9.03
Turkey,465.63,453.51,468.3,2.9,41,3.18,3.19,2.05,4.3,8,8.09,2,4.88
United Kingdom,503.93,501.77,504.67,1.88,80,1.25,1.93,2.63,5.5,13.8,12.69,1,8.53
United States,505.35,478.24,502.38,2.3,71,1.99,2.16,3.05,4.96,13.6,13.52,1,7.98
Albania,405.43,437.22,416.73,1.85,36,1.24,2.41,1.72,4,13.6,10.2,2,5.98
Argentina,401.5,379.45,404.07,1.95,40,1.2,2.65,1.77,5.5,13.3,10.1,2,6.96
Baku (Azerbaijan),389.39,419.64,397.65,2.45,25,2.32,2.64,2.28,2.5,6.9,10.48,3,2.05
Belarus,473.79,471.87,471.26,2.11,44,1.81,2.41,2.04,4.8,12.3,12.3,1,3.13
Brazil,412.87,383.57,403.62,2.16,35,1,3.07,2.2,5.9,16.1,7.45,2,6.86
B-S-J-Z (China),555.24,591.39,590.45,2.24,39,2.1,2.48,2.04,4,12.6,7.8,2,3.1
Bulgaria,419.84,436.04,424.07,1.64,42,1.04,2.04,1.78,4.1,11.4,11,2,7.03
Costa Rica,426,402.33,415.62,1.77,56,1.2,2.26,1.71,7.4,26.1,8.6,2,7.88
Croatia,478.99,464.2,472.36,1.64,48,1.44,1.79,1.65,4.6,9.5,11.2,1,6.63
Cyprus,424.36,450.68,439.01,1.91,59,1.6,2.27,1.6,6.4,16.2,11.89,1,7.59
Dominican Republic,341.63,325.1,335.63,2.07,30,1.4,2.8,1.74,2,12.6,7.83,3,6.66
Georgia,379.75,397.59,382.66,2.13,58,1.85,2.55,1.77,3.8,13,12.61,3,5.93
Indonesia,370.97,378.67,396.07,1.85,38,1.66,2.21,1.52,3.6,20.5,7.91,6,6.39
Jordan,419.06,399.76,429.25,2.1,49,1.85,2.33,2.06,3.6,28.5,10.3,3,3.87
Kazakhstan,386.91,423.15,397.1,1.97,31,1.6,2.41,1.78,2.8,11.4,11,3,3.06
Lebanon,353.36,393.45,383.72,2.78,28,2.82,3.1,2.21,2.5,8.6,9.3,2,4.72
Malaysia,414.98,440.21,437.62,1.62,47,1.05,2.15,1.46,4.7,19.7,10.5,3,6.54
Moldova,423.99,420.6,428.49,1.94,33,1.81,2.4,1.31,6.7,18.3,11.6,2,5.94
Morocco,359.39,367.73,376.6,1.98,43,1.81,2.3,1.67,5.3,17.3,4.8,3,4.87
North Macedonia,392.67,394.45,413.04,2.06,37,1.84,2.43,1.74,3.3,8.6,9.8,1,5.57
Panama,376.97,352.85,364.62,1.83,37,1.2,2.43,1.63,3.2,13,9.8,3,7.08
Peru,400.51,399.84,404.22,1.99,35,1.4,2.65,1.64,2.9,17,9.11,3,6.49
Philippines,339.69,352.57,356.93,2.51,36,2.41,3.13,1.67,2.7,13.2,9.6,5,6.71
Qatar,407.09,414.23,419.13,1.87,62,1.6,1.96,2.13,2.9,8.6,9.81,1,3.19
Romania,427.7,429.92,425.76,1.6,47,1.1,1.94,1.71,3.1,9.1,10.99,2,6.44
Russia,478.5,487.79,477.72,3.16,28,2.99,3.22,3.31,3.7,11,10.7,2,3.17
Saudi Arabia,399.15,373.24,386.25,2.42,49,2.39,2.31,2.71,5.1,19.3,10.2,2,1.93
Serbia,439.47,448.28,439.87,1.85,39,1.6,2.15,1.65,4,9.3,11.01,1,6.41
Singapore,549.46,569.01,550.94,1.38,85,1.02,1.3,2.08,2.9,20,11.47,1,6.32
Thailand,392.89,418.56,425.81,2.26,36,2.02,2.85,1.6,4.1,19.1,8.32,5,4.63
Ukraine,465.95,453.12,468.99,3.11,32,3.49,3.33,2.27,5.4,13.1,10.4,2,5.69
Uruguay,427.12,417.66,425.81,1.76,70,1,2.36,1.79,4.9,14.6,8.67,2,8.12
